,quant-ph,cs.LG,cond-mat.stat-mech,math-ph,math.DS,math.PR,stat.ML,math.OC,cs.AI,physics.data-an,math.NA,physics.soc-ph,math.MP,physics.comp-ph,hep-th,cs.CV,cs.IT,math.CO,nlin.CD,physics.flu-dyn,q-bio.QM,stat.AP,physics.optics,cs.NA,cs.DC,cs.SI,cs.SY,hep-ph,physics.chem-ph,physics.bio-ph
quant-ph,0.0,50.0,291.0,380.0,8.0,21.0,12.0,18.0,15.0,8.0,9.0,8.0,380.0,54.0,361.0,2.0,48.0,11.0,38.0,2.0,2.0,1.0,269.0,9.0,1.0,2.0,10.0,76.0,81.0,15.0
cs.LG,50.0,0.0,10.0,5.0,23.0,26.0,1746.0,243.0,1004.0,29.0,60.0,11.0,5.0,40.0,5.0,959.0,122.0,9.0,4.0,12.0,58.0,56.0,11.0,61.0,113.0,119.0,130.0,8.0,19.0,9.0
cond-mat.stat-mech,291.0,10.0,0.0,204.0,10.0,63.0,14.0,2.0,1.0,30.0,3.0,80.0,204.0,53.0,187.0,3.0,12.0,18.0,67.0,31.0,10.0,0.0,6.0,1.0,0.0,27.0,0.0,22.0,66.0,57.0
math-ph,380.0,5.0,204.0,0.0,105.0,224.0,1.0,14.0,1.0,7.0,45.0,5.0,2585.0,19.0,566.0,0.0,12.0,61.0,38.0,34.0,0.0,1.0,17.0,19.0,0.0,2.0,0.0,45.0,16.0,8.0
math.DS,8.0,23.0,10.0,105.0,0.0,58.0,9.0,67.0,1.0,4.0,37.0,9.0,105.0,4.0,5.0,1.0,11.0,31.0,42.0,16.0,12.0,2.0,1.0,23.0,0.0,4.0,39.0,0.0,3.0,5.0
math.PR,21.0,26.0,63.0,224.0,58.0,0.0,27.0,70.0,10.0,10.0,45.0,11.0,224.0,1.0,6.0,2.0,39.0,134.0,2.0,1.0,12.0,11.0,1.0,24.0,1.0,11.0,7.0,2.0,2.0,3.0
stat.ML,12.0,1746.0,14.0,1.0,9.0,27.0,0.0,134.0,261.0,23.0,21.0,7.0,1.0,15.0,3.0,214.0,71.0,4.0,4.0,3.0,28.0,53.0,2.0,22.0,25.0,50.0,28.0,2.0,4.0,2.0
math.OC,18.0,243.0,2.0,14.0,67.0,70.0,134.0,0.0,35.0,2.0,75.0,11.0,14.0,6.0,0.0,18.0,46.0,29.0,1.0,8.0,6.0,12.0,4.0,61.0,22.0,4.0,217.0,0.0,1.0,2.0
cs.AI,15.0,1004.0,1.0,1.0,1.0,10.0,261.0,35.0,0.0,4.0,3.0,5.0,1.0,3.0,1.0,377.0,17.0,4.0,0.0,1.0,20.0,7.0,1.0,3.0,28.0,40.0,52.0,1.0,0.0,1.0
physics.data-an,8.0,29.0,30.0,7.0,4.0,10.0,23.0,2.0,4.0,0.0,2.0,72.0,7.0,25.0,1.0,7.0,13.0,0.0,14.0,5.0,12.0,20.0,11.0,3.0,2.0,28.0,5.0,16.0,4.0,20.0
math.NA,9.0,60.0,3.0,45.0,37.0,45.0,21.0,75.0,3.0,2.0,0.0,1.0,45.0,61.0,0.0,6.0,8.0,2.0,5.0,32.0,3.0,1.0,1.0,624.0,8.0,0.0,11.0,1.0,5.0,1.0
physics.soc-ph,8.0,11.0,80.0,5.0,9.0,11.0,7.0,11.0,5.0,72.0,1.0,0.0,5.0,17.0,1.0,2.0,2.0,3.0,2.0,3.0,8.0,20.0,0.0,1.0,3.0,258.0,13.0,0.0,0.0,13.0
math.MP,380.0,5.0,204.0,2585.0,105.0,224.0,1.0,14.0,1.0,7.0,45.0,5.0,0.0,19.0,566.0,0.0,12.0,61.0,38.0,34.0,0.0,1.0,17.0,19.0,0.0,2.0,0.0,45.0,16.0,8.0
physics.comp-ph,54.0,40.0,53.0,19.0,4.0,1.0,15.0,6.0,3.0,25.0,61.0,17.0,19.0,0.0,6.0,5.0,1.0,0.0,11.0,96.0,2.0,0.0,22.0,39.0,10.0,4.0,2.0,11.0,94.0,17.0
hep-th,361.0,5.0,187.0,566.0,5.0,6.0,3.0,0.0,1.0,1.0,0.0,1.0,566.0,6.0,0.0,0.0,1.0,22.0,19.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1027.0,2.0,3.0
cs.CV,2.0,959.0,3.0,0.0,1.0,2.0,214.0,18.0,377.0,7.0,6.0,2.0,0.0,5.0,0.0,0.0,16.0,3.0,0.0,3.0,23.0,3.0,6.0,6.0,9.0,3.0,13.0,1.0,0.0,0.0
cs.IT,48.0,122.0,12.0,12.0,11.0,39.0,71.0,46.0,17.0,13.0,8.0,2.0,12.0,1.0,1.0,16.0,0.0,39.0,3.0,0.0,2.0,13.0,3.0,7.0,19.0,10.0,29.0,0.0,1.0,1.0
math.CO,11.0,9.0,18.0,61.0,31.0,134.0,4.0,29.0,4.0,0.0,2.0,3.0,61.0,0.0,22.0,3.0,39.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,10.0,1.0,0.0,1.0,1.0
nlin.CD,38.0,4.0,67.0,38.0,42.0,2.0,4.0,1.0,0.0,14.0,5.0,2.0,38.0,11.0,19.0,0.0,3.0,0.0,0.0,42.0,2.0,0.0,11.0,1.0,0.0,1.0,0.0,3.0,1.0,4.0
physics.flu-dyn,2.0,12.0,31.0,34.0,16.0,1.0,3.0,8.0,1.0,5.0,32.0,3.0,34.0,96.0,9.0,3.0,0.0,0.0,42.0,0.0,4.0,0.0,6.0,29.0,0.0,0.0,2.0,3.0,11.0,31.0
q-bio.QM,2.0,58.0,10.0,0.0,12.0,12.0,28.0,6.0,20.0,12.0,3.0,8.0,0.0,2.0,0.0,23.0,2.0,2.0,2.0,4.0,0.0,24.0,2.0,0.0,6.0,5.0,9.0,0.0,3.0,30.0
stat.AP,1.0,56.0,0.0,1.0,2.0,11.0,53.0,12.0,7.0,20.0,1.0,20.0,1.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,0.0,14.0,12.0,1.0,1.0,0.0
physics.optics,269.0,11.0,6.0,17.0,1.0,1.0,2.0,4.0,1.0,11.0,1.0,0.0,17.0,22.0,4.0,6.0,3.0,0.0,11.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,8.0,35.0,20.0
cs.NA,9.0,61.0,1.0,19.0,23.0,24.0,22.0,61.0,3.0,3.0,624.0,1.0,19.0,39.0,0.0,6.0,7.0,1.0,1.0,29.0,0.0,2.0,1.0,0.0,11.0,1.0,11.0,1.0,3.0,1.0
cs.DC,1.0,113.0,0.0,0.0,0.0,1.0,25.0,22.0,28.0,2.0,8.0,3.0,0.0,10.0,0.0,9.0,19.0,4.0,0.0,0.0,6.0,0.0,0.0,11.0,0.0,10.0,14.0,1.0,0.0,0.0
cs.SI,2.0,119.0,27.0,2.0,4.0,11.0,50.0,4.0,40.0,28.0,0.0,258.0,2.0,4.0,0.0,3.0,10.0,10.0,1.0,0.0,5.0,14.0,0.0,1.0,10.0,0.0,13.0,0.0,0.0,3.0
cs.SY,10.0,130.0,0.0,0.0,39.0,7.0,28.0,217.0,52.0,5.0,11.0,13.0,0.0,2.0,0.0,13.0,29.0,1.0,0.0,2.0,9.0,12.0,4.0,11.0,14.0,13.0,0.0,0.0,1.0,1.0
hep-ph,76.0,8.0,22.0,45.0,0.0,2.0,2.0,0.0,1.0,16.0,1.0,0.0,45.0,11.0,1027.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0
physics.chem-ph,81.0,19.0,66.0,16.0,3.0,2.0,4.0,1.0,0.0,4.0,5.0,0.0,16.0,94.0,2.0,0.0,1.0,1.0,1.0,11.0,3.0,1.0,35.0,3.0,0.0,0.0,1.0,2.0,0.0,54.0
physics.bio-ph,15.0,9.0,57.0,8.0,5.0,3.0,2.0,2.0,1.0,20.0,1.0,13.0,8.0,17.0,3.0,0.0,1.0,1.0,4.0,31.0,30.0,0.0,20.0,1.0,0.0,3.0,1.0,3.0,54.0,0.0
